OverallQual,YearBuilt,GarageArea,SalePrice
7,1999,429,12.34583459
6,2003,673,12.24288662
7,2006,660,12.30138283
7,2001,564,12.35233515
5,1956,308,11.48246626
6,1962,884,12.07823927
8,2007,868,12.52815614
6,1977,492,11.92503512
5,1929,484,11.77528973
6,1981,576,12.07539432
6,1997,413,12.1281111
5,1939,240,12.09793049
5,1940,924,11.69940503
6,1976,504,11.90496755
8,2006,1053,12.49125159
7,1954,439,12.39462475
8,1999,671,12.5776362
6,1958,338,11.84222921
5,1982,264,11.73206099
7,1925,672,12.23076526
7,2003,573,12.21106019
4,1951,400,11.85651517
7,1977,505,12.16525065
7,1989,575,12.33929149
6,2006,572,12.1281111
7,2007,626,12.24288662
8,2008,898,12.4073795
6,1992,529,12.09625778
7,2006,528,12.01188092
6,1962,440,11.97665948
4,1971,0,11.38509209
5,1967,280,11.71177632
6,1915,384,11.94194433
8,2006,685,12.35978037
5,1912,0,11.8196746
5,1949,281,11.7829526
7,1977,539,12.36734079
6,1953,418,12.02574909
6,1984,588,11.86709728
5,1950,282,11.9316358
7,1997,576,12.38421883
6,1968,539,12.07254125
6,1950,300,11.97350987
5,1953,375,11.96400108
8,1998,683,12.49500394
7,2001,843,12.23076526
5,1972,552,11.91772368
7,1880,870,12.59473064
8,2004,888,12.63101353
7,1990,746,12.32385568
6,1920,0,11.4019939
4,1940,539,11.32055357
9,2003,708,12.79385931
6,1993,420,12.01733052
6,1948,240,11.7905572
5,1939,410,11.69441334
7,1965,513,12.8346813
7,1925,546,12.08953883
7,2004,432,12.14685329
7,1980,484,12.46843691
8,2006,1025,12.50617724
7,1993,656,12.46843691
7,1980,588,12.14153412
9,2006,840,12.74444437
8,2004,872,12.77705219
7,1986,576,12.61486554
3,1955,220,11.74542511
7,1967,564,12.39669301
5,1941,360,11.3736634
8,1993,473,12.68849879
6,1960,292,11.88621167
6,1916,441,12.27606502
5,1964,352,11.68687877
5,1958,308,11.84222921
8,2003,880,12.55672952
7,2004,484,12.24047407
6,1998,472,12.16525065
5,1965,529,12.34125892
9,2005,676,12.8411298
7,2002,532,12.27373129
7,1984,440,12.21849517
6,1958,297,11.9511804
8,2002,431,12.22046853
4,1950,294,11.31447453
3,1949,400,11.37939407
9,2005,564,12.49125159
5,1976,336,11.35040654
6,1939,312,11.85082525
6,1960,301,11.9283409
6,1960,498,11.96718074
7,2003,474,11.94470788
9,2007,617,12.66999847
7,1986,445,12.15477935
5,1941,200,11.46163217
6,1928,484,11.57025053
6,1940,240,11.8493977
6,1995,521,12.08672589
6,1992,400,12.06104687
5,1976,528,11.80559508
5,1958,288,11.77528973
8,1998,592,12.54254488
6,1978,470,11.95761129
5,1940,240,11.88448902
7,2003,672,12.19854438
6,1972,264,11.6784399
6,1976,566,12.15477935
5,1920,468,11.89818787
6,1963,514,11.97665948
6,1962,296,12.01370075
5,1954,244,11.7905572
5,1959,576,11.99535161
6,2000,460,12.05757264
4,1959,680,11.80881377
6,1984,264,11.73606902
5,1953,270,11.71993963
7,2003,434,12.29910751
5,1996,576,11.90496755
8,2004,610,12.7367009
9,2010,834,12.88520203
6,2000,463,12.09514108
5,1924,308,11.75194237
7,2006,572,12.14286657
7,2006,639,12.27139211
6,1992,501,12.3883942
8,2004,430,12.16525065
5,1910,0,11.30220443
6,1976,352,11.73606902
7,1999,577,12.16002871
5,1900,384,11.68687877
6,2001,560,12.27839331
5,1959,294,11.57590026
4,1941,0,11.51292546
5,1940,240,11.59910316
5,1956,596,11.76756768
5,1972,600,11.71993963
5,1962,264,12.04060821
7,2006,438,12.39255221
8,1996,500,12.41105223
7,2005,400,12.01364014
5,1940,240,11.58988651
8,1998,420,12.46071486
6,1995,373,12.03171926
4,1976,490,11.91839057
6,1936,240,11.65268741
6,1915,308,12.08390501
7,2006,947,12.54254488
8,2007,836,12.73596533
5,1955,572,11.88448902
7,2009,484,12.31043266
5,1927,360,11.65268741
7,1993,678,12.33710091
7,2007,396,12.10699237
6,1978,440,11.91505167
6,1918,864,12.38421883
5,1940,240,11.74403719
5,1968,304,11.86358234
7,1997,784,12.2370867
6,1977,529,12.27839331
5,1954,520,11.6351431
8,1998,696,12.66032792
6,1956,297,11.84222921
7,1946,240,11.81303006
7,1989,569,12.52452638
4,1957,352,11.59917655
7,2007,628,12.18280402
6,1988,576,12.07254125
6,1971,264,11.35510138
6,1920,0,11.28853113
5,1971,440,11.71586631
6,1997,470,12.10625231
4,1972,0,11.30220443
7,1996,550,12.26434155
6,1920,440,11.66134547
6,1926,180,11.68687877
5,1913,352,11.4114463
6,1920,528,11.60823564
4,1955,0,11.6784399
5,1930,360,12.00089179
7,2006,648,12.05815252
7,1994,493,12.25486281
6,1956,480,11.75587164
6,1966,578,12.15477935
7,1998,431,12.20557252
6,1937,198,11.69107165
3,1948,308,11.69524702
6,1930,270,11.60823564
7,1975,576,12.54254488
6,1996,422,12.22587527
8,2008,676,12.25486281
5,1976,560,12.14419724
7,1973,528,12.07539432
5,1916,513,11.49272276
4,1954,529,12.45293272
8,1925,228,11.98915964
5,1950,352,11.60823564
8,2009,552,12.48156194
7,1936,576,11.9511804
6,1934,240,12.14791373
5,1978,0,11.72803684
7,2004,398,12.09368751
7,1970,526,12.02574909
5,1942,312,11.89478071
8,2006,866,12.4292162
6,1993,506,12.1388639
8,1985,528,12.26434155
7,1977,534,12.15477935
6,2005,525,11.90496755
8,2000,499,12.43320822
5,1963,624,11.79433792
6,1997,508,12.24961095
9,2006,694,12.84792653
8,2007,826,12.60148742
4,1937,672,11.40166983
9,2004,772,12.69465266
9,2003,874,12.83201108
7,1915,164,11.9511804
6,1998,402,12.00762171
5,1962,264,11.79433792
5,1950,264,11.89818787
5,1965,515,11.95761129
5,1971,487,12.07254125
5,1900,520,11.98292909
4,1970,286,11.36210258
5,1976,336,11.65268741
6,1941,240,11.79810441
6,2006,429,12.05980333
5,1960,308,11.9511804
5,1938,273,11.42190607
7,1925,240,12.12269104
5,1967,288,11.77528973
5,1958,297,11.69524702
6,1973,264,11.6351431
7,2005,603,12.33138284
5,1965,461,11.8493977
7,1959,484,12.57418197
6,1974,440,11.89818787
5,1952,400,11.73206099
8,1993,471,12.27839331
6,2009,676,12.24673463
7,1928,360,11.98915964
5,1959,270,11.73206099
5,1951,288,12.01309451
7,2005,474,12.21930965
5,1958,624,11.7745202
6,1983,484,11.80559508
5,1926,200,11.47729829
6,1972,583,11.97035031
7,1996,889,12.4874851
6,1998,546,12.25961341
7,1926,282,12.36307639
4,1900,0,11.57355009
6,1957,336,11.91839057
6,1947,420,11.97665948
10,2007,884,12.12675884
7,1996,834,12.66270604
7,2005,453,12.07823927
5,1956,252,11.7905572
4,1920,0,11.36210258
6,1957,484,12.20918779
6,1988,600,12.07254125
6,1920,502,11.75978554
5,1955,392,11.58524613
8,2004,403,12.08953883
5,1910,0,11.58524613
7,1998,527,12.14419724
4,1972,576,11.6195352
5,1968,336,11.97035031
8,2001,670,12.51355735
9,2006,765,12.66032792
8,2000,648,12.42118403
7,1998,583,12.27022047
7,1998,367,11.79810441
7,2006,426,12.09884928
7,1988,786,12.34147728
6,1923,440,12.25486281
5,1970,624,11.77143616
5,1955,720,11.73606902
7,2003,615,12.47990931
6,1977,440,11.8493977
5,1957,288,11.6307085
8,2006,908,12.45097769
4,1949,520,11.58988651
7,2003,871,12.55672952
5,1922,280,11.6351431
5,1957,299,11.85651517
4,1920,570,11.58988651
7,1996,406,12.07254125
7,2003,420,12.36307639
5,1957,528,11.70766954
5,1974,418,12.04355372
5,1940,0,11.58988651
6,1918,396,12.1281111
7,1992,590,12.49874226
6,1915,216,11.75978554
9,2005,656,12.69158046
7,2004,532,12.27373129
8,1983,612,12.66539443
5,1979,600,11.820116
5,1965,576,11.86779879
6,1959,288,11.69524702
7,2009,650,12.32163099
7,2000,400,12.04355372
5,1971,288,11.84222921
5,1947,336,11.68266824
7,1928,216,11.88448902
5,1966,564,12.01066585
7,2007,540,11.8913619
5,1954,352,11.78676213
6,1960,572,12.11121236
8,2008,1390,12.4423022
6,1990,0,11.68266824
10,1893,880,12.69158046
4,1935,240,11.79810441
8,2005,880,12.82098798
6,1918,275,11.77528973
5,1982,528,11.8277362
5,1968,452,11.87059991
5,1930,308,11.2835123
7,2004,520,12.13296417
5,1982,816,11.83500896
6,2003,420,11.8493977
5,1975,280,11.60823564
8,2005,758,12.67294638
6,1910,216,11.64836504
7,2006,648,12.17664898
5,1977,621,12.28995413
6,1980,452,11.92503512
8,2005,736,12.52452638
6,1937,544,11.85651517
8,1992,506,12.30138283
7,2004,480,11.92503512
7,2002,530,12.30591798
7,1965,486,12.23076526
5,1996,576,11.9316358
5,1948,230,12.32385568
8,1934,380,12.79135618
4,1961,261,11.68266824
9,2000,736,12.65395847
6,1978,564,11.90496755
8,2001,531,12.47418956
5,2007,0,11.89818787
6,1963,480,11.8313792
6,2002,393,12.11833373
6,1954,528,11.56646623
9,2007,774,12.65973409
8,2003,749,12.62806706
6,1974,624,12.3883942
5,1977,484,11.81303006
6,2000,440,12.03469103
6,1972,484,12.01460943
6,1962,440,11.98292909
5,1960,286,11.84868316
6,1955,364,11.9381932
5,1969,504,11.81303006
6,1964,520,12.03469103
5,1880,240,11.72803684
8,2006,627,12.25247902
7,1977,544,11.32055357
5,1954,260,11.84510278
6,1980,576,11.87756858
6,1914,0,12.20607265
5,1954,256,11.44035477
5,1910,0,11.35040654
8,2006,648,12.48582713
8,2003,588,12.52088339
7,2001,650,12.32829028
8,1972,538,12.7512997
5,1969,462,11.9316358
9,2009,478,12.82362845
6,1971,576,11.87234663
5,1950,420,11.49577931
6,1953,495,11.9511804
6,1966,442,11.9511804
4,1970,0,11.34450681
7,2007,562,12.2353887
4,1940,296,11.58988651
7,1996,512,12.16002871
6,1906,216,11.81303006
8,1995,839,12.76568843
6,1971,264,11.38509209
5,1959,312,11.88793137
7,1931,270,11.91170158
6,1948,330,11.48760766
5,1964,480,12.02574909
7,1976,550,12.19551713
6,1968,576,11.60823564
4,1972,588,11.8313792
8,2000,504,12.34800614
6,1965,596,11.76756768
6,1994,575,12.17303279
5,1956,576,12.03171926
4,1922,252,11.8313792
6,2005,540,12.06393288
6,1925,300,11.54829261
6,1977,546,12.01370075
6,1957,416,12.458775
6,1965,384,11.8493977
6,1978,440,11.90834024
4,1900,779,11.3736634
5,1924,240,11.60367983
8,2008,834,12.82799232
5,1961,572,11.76368418
6,1980,264,11.87059991
5,1932,281,11.97938532
6,1996,431,12.06104687
9,2002,702,12.56024446
7,1998,486,12.30591798
7,1984,577,12.24288662
7,2007,578,12.33655251
7,2004,480,11.9103584
8,2007,567,12.87901712
6,2005,460,12.17921519
6,2004,420,11.85651517
7,1989,628,12.72188581
5,1921,326,11.5943211
5,1936,576,11.860055
6,1987,551,12.07823927
5,1921,205,11.39639165
5,1952,308,11.72399644
5,1965,336,11.8386256
7,2004,530,12.18586994
8,2002,765,12.65235975
7,1969,528,11.8493977
8,2006,666,12.79917571
5,1900,672,11.8493977
7,2004,606,12.26904744
7,1971,739,12.6181823
8,2006,550,12.44508955
7,2007,400,12.0981533
5,1966,408,11.60732614
4,1900,384,11.54030714
8,1988,472,12.14950229
4,1970,576,11.76756768
6,1976,475,11.77912851
6,1974,478,12.01370075
7,1890,704,11.9797992
5,1973,439,11.96400108
7,1993,983,12.73963776
5,1969,300,11.76368418
8,1985,564,12.52452638
6,2004,420,11.87059991
4,1970,463,11.73206099
4,1954,548,11.81303006
9,2007,768,12.67607627
4,1970,660,11.69940503
6,1988,540,12.31043266
7,2007,632,12.17818744
5,1958,888,11.60823564
4,1925,539,11.54248427
8,1995,608,12.37370349
7,2003,438,12.14153412
7,1998,541,12.31268238
5,1961,264,11.78600139
5,1968,300,11.58988651
7,1914,320,12.00150548
3,1950,400,11.44571672
8,2005,800,12.38797745
5,1987,0,12.09514108
7,2004,572,12.15477935
5,1910,360,11.7905572
6,1961,288,11.86358234
7,2000,539,12.09514108
5,1963,480,12.07254125
8,1993,462,12.10071213
8,1976,831,12.61087086
7,2000,554,12.37158708
7,1880,864,12.49117264
7,1996,527,12.46997419
4,1945,240,11.49272276
4,1910,0,11.47729829
7,2003,400,11.99535161
6,1997,576,12.28765263
8,2005,878,12.52634291
6,1969,440,11.95761129
6,1999,440,12.05815252
8,2007,578,12.26434155
6,1978,440,11.97603035
7,1999,440,12.09737323
8,1995,752,12.5776362
6,1959,300,11.75587164
5,1924,440,11.51292546
7,2009,614,12.27932311
8,1999,856,12.72783821
8,1995,481,12.50617724
9,2008,592,12.48420426
7,1988,496,12.18841771
6,1940,423,11.98292909
7,2004,484,12.2869012
5,1982,576,11.81228904
4,1951,396,11.53272809
6,1976,672,11.58058411
5,1958,275,11.6483301
6,1998,412,11.99535161
7,2005,865,12.30817787
5,1974,440,11.86709728
5,1977,630,11.87756858
6,1977,504,11.81303006
7,1995,402,12.07823927
6,1992,484,12.07767093
7,2001,605,12.13939851
5,1978,602,12.01672647
6,1914,0,11.75978554
6,1967,457,11.99226042
5,1915,416,11.84222921
7,2004,618,12.35879373
4,1954,281,11.58896015
6,1966,444,12.14153412
7,2005,397,11.98417831
6,1976,539,11.8968264
7,1996,455,12.50539916
8,2007,474,12.32385568
7,1994,409,12.17818744
6,1980,476,12.04941884
6,1977,528,11.87409031
5,1953,240,11.60823564
5,1937,240,12.07254125
6,1997,603,12.20607265
4,1916,440,11.60732614
7,2005,410,12.14950229
5,1954,286,11.6784399
7,2008,554,12.33569641
5,1967,384,11.81672692
5,1923,528,12.31716669
5,1966,484,11.98261655
5,1898,360,11.57119437
6,1974,484,12.10625231
6,2004,420,11.88103479
6,1958,301,11.9697172
5,1918,280,11.66134547
7,1998,598,12.32341114
5,1954,275,11.8277362
8,2002,857,12.5098741
6,1971,440,11.9511804
7,2009,484,12.31940133
7,2003,595,12.11724143
4,1953,576,11.44035477
7,2003,433,12.32385568
6,1940,240,11.84581988
8,2006,776,12.35707552
10,2007,1220,12.86099861
5,1924,0,11.60367983
7,2001,527,12.14950229
5,1967,538,12.1281111
7,2005,480,11.90090526
6,1957,458,12.01974307
7,2005,480,11.92503512
7,2003,613,12.37581542
6,1964,472,12.02574909
5,1961,456,11.84904049
4,1950,436,11.75978554
5,1948,812,11.94145585
6,1973,264,11.51292546
5,1995,352,11.87756858
5,1946,240,11.77912851
6,1925,400,11.8493977
5,1904,686,11.96718074
6,1966,490,12.07196966
5,1961,0,11.85651517
5,1915,720,11.94405832
5,1975,611,12.04941884
7,1993,425,12.26904744
5,1972,338,11.80185676
6,1908,360,12.3883942
6,1976,512,12.1388639
6,2003,420,11.78676213
8,2003,400,12.27839331
7,1941,240,12.00762171
6,1964,645,11.97035031
5,1955,454,12.04355372
5,1962,260,11.75194237
6,1978,576,11.89818787
6,1994,343,12.06681058
7,1976,479,11.9316358
6,1968,619,12.4292162
7,1918,216,12.15451616
5,1965,504,11.78676213
6,1984,480,11.9316358
5,1959,672,11.79433792
7,2007,529,12.43153351
5,1970,902,11.90834024
8,2006,870,12.42480649
4,1961,544,11.76756768
5,1948,672,12.03765399
7,1993,574,12.37158708
5,1962,308,11.60367983
6,1998,523,12.20856953
5,1953,414,11.66134547
5,1949,288,11.79810441
8,2007,550,12.6230611
4,1963,648,11.79244935
9,2004,738,12.76568843
5,1961,576,11.90496755
5,1978,336,11.82407989
5,2005,450,11.96400108
7,1990,400,12.14153412
6,1992,389,12.08953883
4,1912,440,11.68266824
5,1967,288,11.51292546
9,1999,506,12.70350903
5,1959,588,11.88448902
5,1955,300,11.81672692
8,1970,621,12.49874226
6,1953,505,11.91505167
5,1949,576,11.7191263
6,1978,440,12.05815252
6,1963,264,11.94794938
5,1954,354,12.01370075
5,1979,400,11.68568478
6,1963,483,11.8493977
4,1936,327,11.57590026
5,1979,528,11.87027118
5,1961,288,11.81303006
4,1971,684,11.60823564
5,1957,756,11.9381932
7,2003,393,12.10071213
7,2006,690,12.3883942
5,1967,288,11.74006104
5,1954,280,11.75978554
8,2006,865,12.44901882
7,1936,180,12.4292162
5,1983,484,11.7829526
6,2005,390,12.06681058
5,1960,480,11.94665404
5,1977,252,11.87409031
5,1925,450,11.38509209
5,1949,871,11.88448902
6,2009,528,12.06527492
4,1956,284,11.81303006
7,1991,833,12.38002595
6,1958,601,12.08107616
6,1994,471,12.21106019
5,1900,0,11.89067673
6,2005,397,12.04349489
6,1993,533,12.17044547
6,1980,612,12.24288662
5,1977,540,12.07254125
8,2003,656,12.56024446
7,1968,486,12.07823927
8,2001,522,12.37370349
7,1997,642,12.31043266
8,2007,610,12.21106019
5,1965,429,11.67419361
9,2006,788,12.67607627
7,2004,570,12.15477935
7,1960,505,12.39669301
4,1926,528,11.28853113
7,2003,555,12.12757042
7,2005,689,12.44114477
7,2006,868,12.38755635
7,1940,349,12.40656151
6,1976,574,11.92437264
7,1999,390,12.27373129
4,1977,0,11.91839057
5,1967,576,11.87059991
6,1958,525,11.8313792
5,1890,456,11.7352687
5,1959,796,11.87059991
8,2002,808,12.50617724
7,2002,474,12.16785143
6,1972,676,12.19349386
5,1950,720,11.76756768
5,1965,300,11.69441334
5,1972,396,11.80484853
5,1969,530,12.05524976
6,1975,0,11.75587164
6,1946,492,11.88448902
6,1980,462,11.72803684
5,1962,576,11.7905572
7,2003,531,12.1281111
7,1999,484,11.9511804
5,1958,0,11.66564655
6,1977,619,12.51355735
6,1976,440,11.9511804
9,2007,702,12.38421883
7,2002,510,12.27792808
6,2005,393,12.09458227
5,1940,256,11.98292909
5,1955,260,11.81303006
6,1958,264,11.8493977
4,1949,0,11.81303006
7,2003,474,12.06104687
6,1979,264,11.50791292
7,2007,480,12.11176197
7,1910,532,12.02873863
7,2000,490,12.01370075
4,1923,0,11.35627165
7,2006,569,12.20557252
4,1954,400,11.60823564
5,1963,480,11.84222921
7,1961,588,12.0917835
8,1998,676,12.72486644
7,2007,388,11.98227263
8,2002,779,12.45254202
5,1977,539,11.74403719
5,1950,240,11.73606902
6,1910,255,11.66992921
6,1976,551,12.18075484
7,2006,614,12.19095901
8,1997,870,12.75995776
8,1882,424,12.03171926
6,1964,440,12.1388639
6,2005,564,12.0662357
10,2006,786,12.72932079
4,1946,305,11.70849225
5,1961,368,11.82407989
6,1970,615,12.1281111
3,1922,210,11.41861479
7,2006,632,12.23563145
3,1952,528,11.31447453
5,1920,216,11.36210258
8,2006,824,12.35449265
5,1976,528,11.82704253
7,2005,457,12.10625231
5,1977,328,11.91772368
6,1970,484,12.00456827
4,1970,286,11.38509209
7,2004,550,12.3883942
5,1926,0,11.53272809
5,1948,312,11.81303006
5,1965,0,11.51292546
6,1923,180,12.01370075
5,1910,280,11.35040654
6,1948,240,11.68855803
8,2001,528,12.3327053
7,1996,478,12.22096126
8,1984,565,12.14153412
7,1991,402,11.98292909
7,2005,440,12.27134527
4,2005,451,12.07823927
7,2006,632,12.17561344
5,1930,160,11.3736634
7,2005,437,12.16002871
8,1976,665,12.56723749
5,1972,461,11.6307085
5,1960,461,12.02873863
8,2007,800,12.58819065
5,1941,240,11.56171563
6,1972,264,11.6784399
5,1916,0,11.98292909
7,1920,672,12.19095901
8,1993,796,12.64432758
7,2002,900,12.34583459
5,1938,240,11.69316152
4,1957,290,11.33857208
9,2007,912,12.66191396
8,2001,905,12.56723749
4,1970,0,11.48246626
4,1970,286,11.28978191
5,1957,484,11.9511804
6,1966,484,12.06104687
6,2005,624,12.18586994
7,1990,514,12.47716791
8,1981,542,12.53537639
3,1955,452,11.84653647
5,1994,672,11.88448902
5,1960,336,11.65268741
4,1946,308,11.34922937
7,2007,436,12.08099117
7,2007,440,12.2067774
6,1964,540,12.01370075
5,1957,364,11.88103479
8,2002,586,12.44901882
6,1976,478,12.10071213
7,2005,484,12.13269518
7,1994,467,12.42118403
9,2008,836,12.72188581
6,1932,432,12.30138283
8,2001,582,12.27139211
3,1935,1248,11.30220443
5,1900,560,11.40756495
6,1925,440,11.6127708
5,1966,480,11.94470788
7,1996,533,12.70076889
6,1993,380,12.08953883
6,1964,442,12.03112384
6,1973,576,11.92768062
5,1949,576,11.81303006
5,1956,286,11.81303006
6,1968,441,11.94470788
5,1948,280,11.42409425
6,1977,440,11.9797992
7,2006,826,12.17561344
7,1940,240,12.29910751
5,1936,566,12.04355372
5,1969,299,11.84078933
6,2004,420,11.95697006
5,1994,299,11.74403719
6,1971,528,11.88448902
5,1963,308,11.79810441
7,2002,527,12.16525065
6,1964,461,11.98292909
6,1995,409,12.14153412
6,1992,564,11.89818787
4,1973,286,11.33260191
8,2005,1043,12.43718437
7,2004,380,11.8313792
8,2005,550,12.19095901
3,1950,400,11.43927892
7,1999,462,11.98292909
6,1925,576,11.82407989
5,1965,884,11.8913619
5,1956,308,11.76756768
6,2006,440,12.08069081
6,1914,0,11.75194237
8,1986,461,12.04355372
4,1936,240,11.75978554
7,1978,478,11.96400108
5,1971,280,11.69107165
5,1960,254,11.81303006
6,1959,539,11.9797992
5,1970,440,11.57119437
8,1994,712,12.69158046
7,1990,719,12.10015642
7,2006,422,12.52352588
6,2000,463,12.10625231
8,2004,862,12.54254488
6,1995,431,12.14419724
7,1976,483,12.23076526
5,1957,308,11.7745202
5,1953,240,11.80931948
5,1954,326,11.66992921
8,2007,928,12.66980666
8,2002,527,12.12323437
5,1967,450,11.77528973
5,1958,300,11.8493977
