,MSSubClass,LotArea,LotShape,Neighborhood,NeighborhoodN,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,X1stFlrSF,X2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageArea,SalePrice
68,20,10665,IR1,CollgCr,1,1Story,7,2003,2003,167,Gd,PConc,Gd,GLQ,1013,440,1453,Ex,1479,0,1479,1,2,0,Gd,7,0,NA,2003,RFn,558,12.32829028
69,30,4608,Reg,OldTown,7,1Story,4,1945,1950,0,TA,CBlock,TA,Unf,0,747,747,TA,747,0,747,0,1,0,TA,4,0,NA,1945,Unf,220,11.28978191
70,50,15593,Reg,ClearCr,15,1.5Fin,7,1953,1953,0,Gd,CBlock,TA,BLQ,603,701,1304,TA,1304,983,2287,0,2,0,TA,7,1,TA,1953,Fin,667,12.32385568
71,20,13651,IR1,NAmes,11,1Story,7,1973,1973,1115,TA,CBlock,Gd,ALQ,1880,343,2223,Ex,2223,0,2223,1,2,0,TA,8,1,Gd,1973,Fin,516,12.4049235
72,20,7599,Reg,Mitchel,4,1Story,4,1982,2006,0,TA,CBlock,TA,ALQ,565,280,845,TA,845,0,845,1,1,0,TA,4,0,NA,1987,Unf,360,11.77143616
73,60,10141,IR1,Gilbert,19,2Story,7,1998,1998,40,TA,PConc,Gd,Unf,0,832,832,Gd,885,833,1718,0,2,1,TA,7,1,TA,1998,Fin,427,12.1281111
74,20,10200,Reg,NAmes,11,1Story,5,1954,2003,104,TA,CBlock,TA,ALQ,320,404,1086,Gd,1086,0,1086,1,1,0,TA,6,0,NA,1989,Unf,490,11.88379913
75,50,5790,Reg,OldTown,7,2Story,3,1915,1950,0,Gd,CBlock,Fa,Unf,0,840,840,Gd,840,765,1605,0,2,0,TA,8,0,NA,1915,Unf,379,11.58431546
76,180,1596,Reg,MeadowV,14,SLvl,4,1973,1973,0,TA,CBlock,Gd,GLQ,462,0,462,TA,526,462,988,1,1,0,TA,5,0,NA,1973,Unf,297,11.41861479
77,20,8475,IR1,NAmes,11,1Story,4,1956,1956,0,TA,CBlock,TA,ALQ,228,724,952,Ex,952,0,952,0,1,0,TA,4,0,NA,1956,Unf,283,11.81857024
78,50,8635,Reg,BrkSide,8,1.5Fin,5,1948,2001,0,TA,CBlock,TA,BLQ,336,295,672,TA,1072,213,1285,1,1,0,TA,6,0,NA,1948,Unf,240,11.75194237
79,90,10778,Reg,Sawyer,9,1Story,4,1968,1968,0,TA,CBlock,TA,Unf,0,1768,1768,TA,1768,0,1768,0,2,0,TA,8,0,NA,NA,NA,0,11.82407989
80,50,10440,Reg,OldTown,7,2Story,5,1910,1981,0,TA,PConc,TA,Unf,0,440,440,Gd,682,548,1230,0,1,1,TA,5,0,NA,1966,Unf,440,11.60823564
81,60,13000,Reg,NAmes,11,2Story,6,1968,1968,576,TA,CBlock,Gd,Rec,448,448,896,TA,1182,960,2142,0,2,1,Gd,8,1,Gd,1968,Fin,509,12.17303279
82,120,4500,Reg,Mitchel,4,1Story,6,1998,1998,443,TA,PConc,Ex,GLQ,1201,36,1237,Ex,1337,0,1337,1,2,0,TA,5,0,NA,1998,Fin,405,11.94145585
83,20,10206,Reg,Somerst,5,1Story,8,2007,2007,468,TA,PConc,Gd,GLQ,33,1530,1563,Ex,1563,0,1563,0,2,0,Gd,6,1,Gd,2007,RFn,758,12.40901349
84,20,8892,IR1,NAmes,11,1Story,5,1960,1960,66,TA,CBlock,TA,Unf,0,1065,1065,Gd,1065,0,1065,0,1,1,TA,6,0,NA,1974,Unf,461,11.74799759
85,80,8530,IR1,Gilbert,19,SLvl,7,1995,1996,22,TA,PConc,Gd,Unf,0,384,384,Gd,804,670,1474,0,2,1,TA,7,1,TA,1995,Fin,400,12.03469103
86,60,16059,Reg,NoRidge,3,2Story,8,1991,1992,284,Gd,CBlock,Gd,Unf,0,1288,1288,Ex,1301,1116,2417,0,2,1,Gd,9,1,TA,1991,Unf,462,12.46843691
87,60,11911,IR2,Gilbert,19,2Story,6,2005,2005,0,Gd,PConc,Gd,Unf,0,684,684,Ex,684,876,1560,0,2,1,Gd,6,1,Gd,2005,Fin,400,12.06681058
88,160,3951,Reg,Somerst,5,2Story,6,2009,2009,76,Gd,PConc,Gd,Unf,0,612,612,Ex,612,612,1224,0,2,1,Gd,4,0,NA,2009,RFn,528,12.01066585
89,50,8470,IR1,IDOTRR,13,1.5Fin,3,1915,1982,0,Fa,CBlock,TA,Unf,0,1013,1013,TA,1013,0,1526,0,1,0,Fa,6,0,NA,NA,NA,0,11.35040654
90,20,8070,Reg,CollgCr,1,1Story,4,1994,1995,0,TA,PConc,Gd,GLQ,588,402,990,Ex,990,0,990,1,1,0,TA,5,0,NA,NA,NA,0,11.72480582
91,20,7200,Reg,NAmes,11,1Story,4,1950,1950,0,TA,Slab,NA,NA,0,0,0,TA,1040,0,1040,0,1,0,TA,4,0,NA,1950,Unf,420,11.60732614
92,20,8500,Reg,NAmes,11,1Story,5,1961,1961,203,TA,CBlock,TA,Rec,600,635,1235,TA,1235,0,1235,0,1,0,TA,6,0,NA,1961,Unf,480,11.49882654
93,30,13360,IR1,Crawfor,3,1Story,5,1921,2006,0,TA,BrkTil,Gd,ALQ,713,163,876,Ex,964,0,964,1,1,0,TA,5,0,NA,1921,Unf,432,12.00456827
94,190,7200,Reg,OldTown,7,2.5Unf,6,1910,1998,0,TA,BrkTil,TA,Rec,1046,168,1214,Ex,1260,1031,2291,0,2,0,TA,9,1,Gd,1900,Unf,506,11.80484853
95,60,9337,IR1,CollgCr,1,2Story,6,1997,1997,0,TA,PConc,Gd,GLQ,648,176,824,Ex,905,881,1786,1,2,1,Gd,7,0,NA,1997,RFn,684,12.229545
96,60,9765,IR2,Gilbert,19,2Story,6,1993,1993,68,Ex,PConc,Gd,ALQ,310,370,680,Gd,680,790,1470,0,2,1,TA,6,1,TA,1993,Fin,420,12.1281111
97,20,10264,IR1,CollgCr,1,1Story,7,1999,1999,183,Gd,PConc,Gd,ALQ,1162,426,1588,Ex,1588,0,1588,0,2,0,Gd,6,0,NA,1999,RFn,472,12.27373129
98,20,10921,Reg,Edwards,18,1Story,4,1965,1965,48,TA,CBlock,TA,Rec,520,440,960,TA,960,0,960,1,1,0,TA,6,0,NA,1965,Fin,432,11.45899712
99,30,10625,Reg,Edwards,18,1Story,5,1920,1950,0,TA,BrkTil,TA,ALQ,108,350,458,Fa,835,0,835,0,1,0,TA,5,0,NA,1920,Unf,366,11.32659589
100,20,9320,IR1,NAmes,11,1Story,4,1959,1959,0,TA,CBlock,TA,ALQ,569,381,950,Fa,1225,0,1225,1,1,1,TA,6,0,NA,NA,NA,0,11.76718001
101,20,10603,IR1,NWAmes,6,1Story,6,1977,2001,28,TA,PConc,TA,ALQ,1200,410,1610,Gd,1610,0,1610,1,2,0,Gd,6,1,TA,1977,RFn,480,12.23076526
102,60,9206,Reg,SawyerW,16,2Story,6,1985,1985,336,Gd,CBlock,Gd,Unf,0,741,741,TA,977,755,1732,0,2,1,Gd,7,1,TA,1985,Fin,476,12.08953883
103,90,7018,Reg,SawyerW,16,1Story,5,1979,1979,0,TA,Slab,NA,NA,0,0,0,TA,1535,0,1535,0,2,0,TA,8,0,NA,1979,Unf,410,11.68657621
104,20,10402,IR1,CollgCr,1,1Story,7,2009,2009,0,TA,PConc,Gd,Unf,0,1226,1226,Ex,1226,0,1226,0,2,0,Gd,6,0,NA,2009,RFn,740,12.20055746
105,50,7758,Reg,IDOTRR,13,1.5Fin,7,1931,1950,600,TA,PConc,TA,LwQ,224,816,1040,Ex,1226,592,1818,0,1,1,TA,7,1,TA,1951,Unf,240,12.04060821
106,60,9375,Reg,Somerst,5,2Story,8,2003,2004,768,Gd,PConc,Ex,Unf,0,1053,1053,Ex,1053,939,1992,0,2,1,Gd,9,1,Gd,2003,RFn,648,12.4292162
107,30,10800,Reg,OldTown,7,1Story,4,1885,1995,0,TA,BrkTil,Fa,Unf,0,641,641,Gd,1047,0,1047,0,1,0,TA,6,0,NA,1954,Unf,273,11.51292546
108,20,6000,Reg,OldTown,7,1Story,5,1948,1950,0,TA,CBlock,TA,ALQ,104,516,789,Ex,789,0,789,0,1,0,TA,5,0,NA,1948,Unf,250,11.65268741
109,50,8500,Reg,IDOTRR,13,1.5Fin,5,1919,2005,0,TA,CBlock,TA,Unf,0,793,793,TA,997,520,1517,0,2,0,Fa,7,0,NA,NA,NA,0,11.65268741
110,20,11751,IR1,NWAmes,6,1Story,6,1977,1977,480,TA,CBlock,Gd,BLQ,705,1139,1844,Ex,1844,0,1844,0,2,0,TA,7,1,TA,1977,RFn,546,12.15477935
111,50,9525,Reg,Edwards,18,1.5Fin,6,1954,1972,0,TA,CBlock,TA,Rec,444,550,994,Gd,1216,639,1855,0,2,0,TA,7,0,NA,1954,Unf,325,11.82700601
112,80,7750,IR1,Gilbert,19,SLvl,7,2000,2000,0,TA,PConc,Gd,GLQ,250,134,384,Ex,774,656,1430,0,2,1,TA,7,1,TA,2000,Fin,400,12.10071213
113,60,9965,Reg,CollgCr,1,2Story,7,2007,2007,220,Gd,PConc,Ex,GLQ,984,280,1264,Ex,1282,1414,2696,1,2,1,Ex,10,1,Gd,2007,Fin,792,12.8583197
114,20,21000,Reg,Crawfor,3,1Story,6,1953,1953,184,TA,CBlock,Gd,ALQ,35,905,1809,TA,2259,0,2259,1,2,0,Gd,7,1,Gd,1953,Unf,450,12.28765263
115,70,7259,IR1,Crawfor,3,2Story,6,1945,2002,0,TA,CBlock,TA,ALQ,774,104,1028,Ex,1436,884,2320,1,2,1,Gd,9,1,TA,1945,Unf,180,12.46651198
116,160,3230,Reg,Somerst,5,2Story,6,1999,1999,1129,TA,PConc,Gd,GLQ,419,310,729,Gd,729,729,1458,0,2,1,TA,5,1,Fa,1999,Unf,440,12.07823927
117,20,11616,Reg,Sawyer,9,1Story,5,1962,1962,116,TA,CBlock,TA,LwQ,170,252,1092,TA,1092,0,1092,0,1,0,TA,6,1,Po,1962,Unf,288,11.84222921
118,20,8536,Reg,Edwards,18,1Story,5,2006,2007,0,TA,PConc,Gd,Unf,0,1125,1125,Gd,1125,0,1125,0,1,1,TA,5,0,NA,2007,Unf,430,11.9511804
119,60,12376,Reg,SawyerW,16,2Story,7,1990,1990,0,TA,PConc,Gd,GLQ,1470,203,1673,Gd,1699,1523,3222,1,3,0,Gd,11,1,TA,1990,Unf,594,12.67607627
120,60,8461,Reg,CollgCr,1,2Story,6,2005,2006,0,Gd,PConc,Gd,Unf,0,728,728,Ex,728,728,1456,0,2,1,Gd,8,1,Gd,2005,Fin,390,12.00756073
121,80,21453,IR1,ClearCr,15,SLvl,6,1969,1969,0,TA,CBlock,TA,ALQ,938,0,938,Ex,988,0,988,1,1,0,TA,4,1,TA,1969,Unf,540,12.10071213
122,50,6060,Reg,IDOTRR,13,1.5Fin,4,1939,1950,0,TA,PConc,TA,Unf,0,732,732,Gd,772,351,1123,0,1,0,TA,4,0,NA,1979,Unf,264,11.51292546
123,20,9464,Reg,NAmes,11,1Story,6,1958,1958,135,TA,CBlock,TA,BLQ,570,510,1080,Gd,1080,0,1080,0,1,0,TA,5,0,NA,1958,Unf,288,11.82041016
124,120,7892,Reg,SawyerW,16,1Story,6,1993,1993,0,Gd,PConc,Gd,GLQ,300,899,1199,Ex,1199,0,1199,0,2,0,Gd,5,0,NA,1993,RFn,530,11.94405832
125,20,17043,IR1,NWAmes,6,1Story,6,1979,1998,0,TA,CBlock,Gd,Unf,0,1362,1362,TA,1586,0,1586,0,2,0,TA,7,1,TA,1979,Unf,435,12.10625231
126,190,6780,Reg,IDOTRR,13,1.5Fin,6,1935,1982,0,TA,CBlock,TA,GLQ,490,30,520,Gd,520,0,754,1,1,0,TA,5,0,NA,NA,NA,0,11.34450681
127,120,4928,IR1,NPkVill,20,1Story,6,1976,1976,0,TA,CBlock,Gd,ALQ,120,958,1078,TA,958,0,958,0,2,0,TA,5,1,TA,1977,RFn,440,11.75978554
128,45,4388,IR1,OldTown,7,1.5Unf,5,1930,1950,0,TA,BrkTil,TA,LwQ,116,556,672,Ex,840,0,840,0,1,0,TA,5,1,TA,NA,NA,0,11.3736634
129,60,7590,Reg,NAmes,11,2Story,6,1966,1966,266,TA,CBlock,TA,BLQ,512,148,660,TA,660,688,1348,0,1,1,TA,6,1,Fa,1966,RFn,453,11.9511804
130,20,8973,Reg,NAmes,11,1Story,5,1958,1991,85,TA,CBlock,TA,Rec,567,413,1008,TA,1053,0,1053,0,1,1,Ex,6,0,NA,1998,RFn,750,11.91839057
131,60,14200,Reg,NAmes,11,2Story,7,1966,1966,309,TA,CBlock,TA,Rec,445,479,924,Ex,1216,941,2157,0,2,1,Gd,8,1,Gd,1966,Fin,487,12.32829028
132,60,12224,IR1,Gilbert,19,2Story,6,2000,2000,40,Gd,PConc,Gd,GLQ,695,297,992,Ex,1022,1032,2054,1,2,1,Gd,7,1,TA,2000,RFn,390,12.4049235
133,20,7388,Reg,NAmes,11,1Story,5,1959,2002,0,TA,CBlock,TA,Rec,405,658,1063,Gd,1327,0,1327,1,1,0,Gd,7,0,NA,1974,Unf,624,11.92337811
134,20,6853,IR1,Timber,17,1Story,8,2001,2002,136,Gd,PConc,Ex,GLQ,1005,262,1267,Ex,1296,0,1296,1,2,0,Gd,6,0,NA,2001,Fin,471,12.30138283
135,20,10335,IR1,Sawyer,9,1Story,5,1968,1993,0,TA,CBlock,TA,Rec,570,891,1461,Gd,1721,0,1721,0,2,1,TA,7,1,TA,1968,RFn,440,12.10071213
136,20,10400,Reg,NWAmes,6,1Story,7,1970,1970,288,TA,PConc,TA,Unf,0,1304,1304,Gd,1682,0,1682,0,2,0,TA,7,1,Gd,1970,Unf,530,12.06681058
137,20,10355,IR1,NAmes,11,1Story,5,1967,1967,196,TA,CBlock,TA,BLQ,695,519,1214,TA,1214,0,1214,0,2,0,TA,5,1,Fa,1967,RFn,318,11.87059991
138,90,11070,Reg,Mitchel,4,1Story,7,1988,1989,70,TA,CBlock,TA,Unf,0,1907,1907,Gd,1959,0,1959,0,3,0,TA,9,0,NA,1989,Unf,766,12.04941884
139,60,9066,IR1,CollgCr,1,2Story,8,1999,2000,320,Gd,PConc,Gd,GLQ,668,336,1004,Ex,1004,848,1852,0,2,1,Gd,7,1,TA,1999,Fin,660,12.34583459
